YEAR,car_age,MILEAGE,car_price
2009,13,13171,16990
2010,12,22000,25998
2011,11,46208,20590
2012,10,26000,29998
2013,9,55647,27990
2014,8,29000,32998
2015,7,6000,37998
2016,6,30000,37998
2017,5,16000,34998
2018,4,35000,35998
2019,3,18000,36998
2020,2,11000,45998
2021,1,5000,41270
